domainId,categoryId,categoryTitle,breadcrumb,mediaGroup,name,subName,pen,sel,reach,benchmarkPen
brands-relationship,brands-relationship-abc-fine-wine-liquors,ABC Fine Wine & liquors,Brands relationship > ABC Fine Wine & liquors,Retail & commerce,ABC Fine Wine & liquors,,0.7,1.37,2275,0.510948905109489
brands-relationship,brands-relationship-aetna,Aetna,Brands relationship > Aetna,"Finance, insurance & property",Aetna,,0.5,1.39,1471,0.3597122302158274
brands-relationship,brands-relationship-amaven-marketing,Amaven Marketing,Brands relationship > Amaven Marketing,Agencies & niche brands,Amaven Marketing,,5.8,1.3,18487,4.461538461538462
brands-relationship,brands-relationship-ameriserv,Ameriserv,Brands relationship > Ameriserv,"Finance, insurance & property",Ameriserv,,0.5,1.42,1479,0.35211267605633806
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Assisi Pet Care,,3.2,1.35,10193,2.3703703703703702
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",UrgentVet,,1.9,1.25,6089,1.52
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Veterinary Emergency Group,,0.8,1.17,2711,0.6837606837606839
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Central Bark,,0.3,0.98,874,0.30612244897959184
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Eukanuba,,2.7,0.94,8602,2.8723404255319154
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Nestlé Purina PetCare,,5.6,0.92,18112,6.08695652173913
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Hill's Pet Nutrition,,4.3,0.92,13880,4.673913043478261
brands-relationship,brands-relationship-animals,Animals,Brands relationship > Animals,"Music, media & personalities",Royal Canin,,6.4,0.91,20373,7.032967032967033
brands-relationship,brands-relationship-ashley-furniture-industries-retailer,Ashley Furniture Industries (retailer),Brands relationship > Ashley Furniture Industries (retailer),Retail & commerce,Ashley Furniture Industries (retailer),,0.7,1.01,2140,0.693069306930693
brands-relationship,brands-relationship-astech,asTech,Brands relationship > asTech,Automotive & mobility,asTech,,15.3,1.5,49049,10.200000000000001
brands-relationship,brands-relationship-atlantic-blowers,Atlantic Blowers,Brands relationship > Atlantic Blowers,Energy & industrial,Atlantic Blowers,,10.7,1.48,34304,7.229729729729729
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Audi,,100,8.06,320900,12.406947890818858
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,BMW,,75.3,1.67,241475,45.08982035928144
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Mercedes-Benz,,77.3,1.66,248132,46.566265060240966
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Porsche,,65.6,1.59,210575,41.25786163522012
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Volkswagen,,64.5,1.59,206795,40.56603773584906
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Priced Right Auto,,0.4,1.56,1264,0.25641025641025644
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Walt Sweeney,,20,1.55,64060,12.903225806451612
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Round Rock Toyota,,2,1.55,6485,1.2903225806451613
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Sponsler Auto,,0.7,1.55,2273,0.4516129032258064
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Interstate Batteries,,7.5,1.54,24183,4.87012987012987
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Advance Auto Parts,6.2,1.54,19748,4.025974025974026
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Pep Boys,,3,1.54,9587,1.948051948051948
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tri-State Enterprises,,2.5,1.54,8150,1.6233766233766234
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Permatex,,2,1.54,6307,1.2987012987012987
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Edge Express Car Wash,,0.6,1.54,1848,0.3896103896103896
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Whistle Express,,0.6,1.54,1765,0.3896103896103896
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Fast Orange,,5.4,1.53,17279,3.5294117647058827
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Lucid Motors,,2.6,1.53,8478,1.6993464052287581
