Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
4G Connection;15200;187400;0.04738154613466334;0.024025641025641024;98
All Android devices;235800;4300000;0.7350374064837906;0.5512820512820513;99
Business page admins;11900;151700;0.03709476309226933;0.01944871794871795;98
Community & Club page admins;6300;102600;0.01963840399002494;0.013153846153846153;91
Commuters;21200;359000;0.06608478802992519;0.04602564102564102;92
Console gamers;33700;384100;0.10504987531172069;0.04924358974358974;99
Engaged Shoppers;260000;3700000;0.8104738154613467;0.47435897435897434;99
Expats (Brazil);1200;29300;0.003740648379052369;0.0037564102564102563;39
Expats (France);3400;86000;0.01059850374064838;0.011025641025641025;35
Expats (Germany);1400;28300;0.004364089775561097;0.003628205128205128;71
Expats (Italy);6100;70500;0.019014962593516208;0.009038461538461539;98
Expats (Morocco);8500;141600;0.02649625935162095;0.018153846153846152;90
Expats (Poland);2000;43700;0.006234413965087282;0.005602564102564102;60
Expats (Portugal);2100;26100;0.006546134663341646;0.0033461538461538464;98
Expats (Romania);4400;74700;0.01371571072319202;0.009576923076923077;88
Expats (Spain);1200;23200;0.003740648379052369;0.0029743589743589744;77
Expats (US);1500;35100;0.0046758104738154616;0.0045;47
Facebook Page admins;224200;3300000;0.6988778054862843;0.4230769230769231;99
Facebook access (mobile): Apple (iOS) devices;139600;2700000;0.43516209476309226;0.34615384615384615;97
Facebook access (mobile): all mobile devices;254800;4300000;0.7942643391521197;0.5512820512820513;99
Frequent International Travelers;233900;3700000;0.7291147132169576;0.47435897435897434;99
Frequent Travelers;233600;3700000;0.7281795511221946;0.47435897435897434;99
Friends of Soccer fans;255900;5000000;0.7976932668329177;0.6410256410256411;98
Health & Beauty page admins;1700;47500;0.00529925187032419;0.00608974358974359;20
Huawei;4400;84500;0.01371571072319202;0.010833333333333334;79
Interested in Upcoming Events;6200;108900;0.019326683291770574;0.013961538461538461;86
New Active Business (< 12 months);4100;71600;0.012780548628428928;0.009179487179487179;86
New Active Business (< 24 months);6300;107700;0.01963840399002494;0.013807692307692307;88
New Active Business (< 6 months);2800;49100;0.008728179551122194;0.006294871794871795;85
New smartphone and tablet owners;3800;77200;0.011845386533665835;0.009897435897435898;72
OnePlus;8400;185600;0.026184538653366583;0.023794871794871796;61
Oppo;3700;76400;0.011533665835411471;0.009794871794871795;69
Page admins;224200;3300000;0.6988778054862843;0.4230769230769231;99
Played Canvas games (last 14 days);1800;41200;0.005610972568578554;0.005282051282051282;51
Played Canvas games (last 3 days);1500;33800;0.0046758104738154616;0.004333333333333333;54
Played Canvas games (last 7 days);1700;37900;0.00529925187032419;0.004858974358974359;56
Played Canvas games (yesterday);1200;28000;0.003740648379052369;0.0035897435897435897;47
Primary Browser: Chrome;52300;1100000;0.1630299251870324;0.14102564102564102;82
Primary Browser: Firefox;5800;128800;0.01807980049875312;0.016512820512820513;59
Primary Browser: Safari;16500;336000;0.05143391521197008;0.043076923076923075;76
Retail page admins;1800;35400;0.005610972568578554;0.004538461538461538;75
Returned from travels 1 week ago;2400;46100;0.007481296758104738;0.0059102564102564105;78
Returned from travels 2 weeks ago;4300;81600;0.013403990024937655;0.010461538461538461;79
Small business owners (behavior);7500;82800;0.023379052369077308;0.010615384615384615;98
Smartphones and tablets;320700;6000000;0.9996882793017456;0.7692307692307693;99
Soccer fans (high content engagement);4400;26800;0.01371571072319202;0.003435897435897436;99
Soccer fans (moderate content engagement);37900;278800;0.11814214463840399;0.035743589743589745;99
Sports page admins;4900;65600;0.01527431421446384;0.00841025641025641;97
Tablet Owners;300000;5300000;0.9351620947630923;0.6794871794871795;99
Technology early adopters;14400;196600;0.04488778054862843;0.025205128205128206;97
Travel & Tourism page admins;4700;91400;0.014650872817955112;0.011717948717948718;77
Uses a mobile device (1-3 months);9400;168700;0.029301745635910224;0.021628205128205128;85
Uses a mobile device (10-12 months);11500;186000;0.03584788029925187;0.023846153846153847;93
Uses a mobile device (13-18 months);27400;423900;0.08541147132169576;0.05434615384615385;96
Uses a mobile device (19-24 months);24600;393800;0.07668329177057356;0.050487179487179484;95
Uses a mobile device (25 months+);163700;2600000;0.510286783042394;0.3333333333333333;99
