Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Aalst;3700;82100;0.011114448783418444;0.01046406403344422;17
Alost;11700;248700;0.03514568939621508;0.03169808434978779;24
Andenne;1700;26400;0.005106638630219285;0.0033648147440064236;76
Anderlecht;5500;150600;0.016521477921297687;0.01919473865330937;6
Ans;1800;26800;0.0054070291378792434;0.0034157967855822785;81
Antwerpen;20800;527000;0.06248122559327125;0.06716883977618884;8
Anvers;33400;865200;0.10033042955842596;0.11027415592857416;8
Anvers;57100;1400000;0.171522979873836;0.17843714551549217;18
Arlon;3100;52600;0.009312105737458696;0.00670413846722492;62
Arlon;2000;31600;0.006007810153199159;0.004027581284492538;74
Ath;2200;34500;0.006608591168519075;0.004397201085917486;75
Ath;5000;83100;0.015019525382997898;0.010591519137383857;69
Audenarde;4000;84600;0.012015620306398318;0.010782701793293312;23
Bastogne;1400;17300;0.004205467107239411;0.0022049732981557248;94
Bastogne;3100;43100;0.009312105737458696;0.005493314979798366;89
Beernem;1100;18100;0.0033042955842595375;0.0023069373813074346;68
Belgium, Brussels-Capital Region;24600;945900;0.07389606488434966;0.12055978281650288;1
Belgium, Flemish Region;179000;4400000;0.5376990087113247;0.5608024573344039;49
Belgium, Walloon Region;129300;2500000;0.3884049264043256;0.31863775984909315;88
Beringen;2100;41700;0.0063082006608591165;0.005314877834282874;33
Beveren;1600;16900;0.004806248122559327;0.00215399125657987;99
Bilzen;1900;31700;0.005707419645539201;0.004040326794886502;66
Binche;1700;22400;0.005106638630219285;0.0028549943282478746;92
Blankenberge;1100;19400;0.0033042955842595375;0.002472629016428963;52
Blégny;1200;14700;0.003604686091919495;0.0018735900279126677;95
Bornem;1100;22200;0.0033042955842595375;0.0028295033074599474;29
Brabant Flamand;41900;971200;0.12586362270952237;0.12378439694617571;21
Brabant Wallon;14400;349300;0.04325623310303395;0.044520067806115296;10
Braine-le-Comte;1100;22100;0.0033042955842595375;0.0028167577970659836;31
Brasschaat;1500;33600;0.0045058576148993695;0.004282491492371812;15
Brecht;1300;27400;0.0039050765995794533;0.003492269847946061;22
Bree;1100;17700;0.0033042955842595375;0.0022559553397315797;70
Bruges;11200;205400;0.03364373685791529;0.026179278349201494;50
Brugge;4300;79000;0.012916791829378192;0.010068953211231343;46
Brussel;5000;114900;0.015019525382997898;0.014644591442664322;14
Bruxelles-Capitale;32300;1100000;0.09702613397416641;0.14020061433360098;3
Chapelle-lez-Herlaimont;1200;16900;0.003604686091919495;0.00215399125657987;86
Charleroi;11300;187500;0.03394412736557525;0.02389783198868199;71
Charleroi;21800;397400;0.06548513066987083;0.05065065830561185;59
Châtelet;2500;38400;0.007509762691498949;0.004894275991282071;77
Ciney;1400;20300;0.004205467107239411;0.0025873386099746366;84
Colfontaine;1100;19100;0.0033042955842595375;0.0024343924852470718;56
Courtrai;11800;245200;0.035446079903875036;0.03125199148599906;29
Deinze;1400;32100;0.004205467107239411;0.004091308836462356;13
Dendermonde;2400;47700;0.00720937218383899;0.006079608457920697;32
Dilbeek;1600;23300;0.004806248122559327;0.0029697039217935484;83
Dilsen-Stokkem;1200;20700;0.003604686091919495;0.0026383206515504915;57
Dinant;6700;100700;0.020126164013217183;0.012834728966721472;81
Dixmude;2200;32400;0.006608591168519075;0.004129545367644248;82
Dour;1100;18400;0.0033042955842595375;0.0023451739124893257;66
Eeklo;4000;74300;0.012015620306398318;0.009469914222715049;44
Elsene;2600;111900;0.007810153199158907;0.01426222613084541;0
Erpe-Mere;1200;20600;0.003604686091919495;0.0026255751411565277;58
Esneux;1100;17100;0.0033042955842595375;0.002179482277367797;75
Etterbeek;2300;72600;0.006908981676179033;0.009253240546017664;4
Evere;1600;41800;0.004806248122559327;0.0053276233446768375;7
Evergem;1800;35600;0.0054070291378792434;0.004537401700251086;33
Flandre Occidentale;43700;886300;0.1312706518474016;0.1129634586217005;47
Flandre Orientale;51600;1200000;0.1550015019525383;0.15294612472756472;24
Fleurus;1700;25400;0.005106638630219285;0.0032373596400667864;80
Flémalle;2000;26700;0.006007810153199159;0.003403051275188315;92
Frameries;1400;22500;0.004205467107239411;0.0028677398386418385;71
Furnes;2400;42100;0.00720937218383899;0.005365859875858729;55
Gand;22000;551200;0.06608591168519075;0.07025325329152805;9
Geel;2400;46300;0.00720937218383899;0.005901171312405205;37
Genk;4200;80400;0.012616401321718233;0.010247390356746836;38
Gent;12900;356300;0.03875037548813458;0.045412253533692756;6
Geraardsbergen;1200;25900;0.003604686091919495;0.0033010871920366052;20
Grimbergen;1500;21700;0.0045058576148993695;0.0027657757554901286;85
Grâce-Hollogne;2200;31100;0.006608591168519075;0.0039638537325227185;87
Hainaut;56200;1100000;0.16881946530489636;0.14020061433360098;64
