Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Activist Ecologist;23049;603105;0.07184850374064838;0.07732115384615385;8
Art Ecologist;54358;1425872;0.16944513715710724;0.18280410256410257;20
Biological Ecologist;68347;1839936;0.21305174563591023;0.23588923076923077;17
Business Ecologist;89306;2036505;0.2783852867830424;0.26109038461538464;74
Cardiovascular Diseases;44624;1193772;0.13910224438902744;0.1530476923076923;44
Climate Change Ecologist;24487;608253;0.07633104738154614;0.07798115384615385;22
Dental Care;5506;126807;0.01716334164588529;0.016257307692307692;88
Eating Ecologist;110936;2714802;0.34581047381546137;0.34805153846153847;62
Educative Ecologist;35706;897093;0.11130299251870324;0.11501192307692308;28
Entertainment Ecologist;51690;1264943;0.1611284289276808;0.1621721794871795;40
Ethics & Fair Trade Ecologist;62519;1640781;0.1948846633416459;0.21035653846153846;31
Farm Ecologist;72355;1896447;0.22554551122194513;0.24313423076923077;34
Fauna Ecologist;75802;2101550;0.23629052369077308;0.26942948717948717;14
Flora Ecologist;89024;2235016;0.2775062344139651;0.2865405128205128;48
Geological Ecologist;49187;1036882;0.15332605985037406;0.13293358974358974;77
HR Ecologist;95063;2214748;0.29633104738154614;0.2839420512820513;71
Health Ecologist;19682;512253;0.06135286783042394;0.06567346153846154;5
Industrial & Construction Ecologist;104090;2229557;0.3244700748129676;0.28584064102564105;91
Institutional Ecologist;35558;828228;0.11084164588528678;0.10618307692307692;42
Insurance Ecologist;65731;1419380;0.20489713216957606;0.18197179487179488;82
Investor Ecologist;62162;1339219;0.1937718204488778;0.1716947435897436;80
Legal Ecologist;41145;905034;0.1282574812967581;0.11603;54
Marketing Ecologist;68775;1557912;0.2143859102244389;0.19973230769230768;65
Mass media Ecologist;56974;1357143;0.1775997506234414;0.17399269230769232;51
Metabolic & Endocrine Diseases;12089;313758;0.03768391521197007;0.040225384615384614;33
Musculoskeletal Diseases;6067;145487;0.01891209476309227;0.018652179487179486;55
Neurological Diseases;3914;114285;0.01220074812967581;0.014651923076923076;22
Oncological Diseases;17392;536782;0.054214463840399005;0.06881820512820513;11
Ophthalmological Diseases;11467;267460;0.03574501246882793;0.03428974358974359;100
Parent Ecologist;33085;948529;0.10313279301745636;0.12160628205128206;2
Political Ecologist;13274;336201;0.04137780548628429;0.04310269230769231;11
Professional Ecologist;31773;795223;0.0990430174563591;0.10195166666666666;25
Renewable Energy Ecologist;129819;2738705;0.4046726932668329;0.3511160256410256;100
Respiratory Diseases;1320;30473;0.004114713216957606;0.003906794871794871;77
Scientific Ecologist;36982;885737;0.11528054862842893;0.11355602564102564;37
Shopping Ecologist;124385;2911898;0.3877337905236908;0.3733202564102564;85
Sleep Disorders;41050;1048283;0.12796134663341646;0.1343952564102564;66
Sport Ecologist;96444;2265089;0.3006359102244389;0.2903960256410256;68
Sustainable Ecologist;128734;2847921;0.40129052369077306;0.3651180769230769;94
Tech Ecologist;90820;2185479;0.28310473815461346;0.2801896153846154;57
The Academic Community Participant;19858;514628;0.061901496259351624;0.06597794871794872;23
The Academic Competition Participant;3509;77410;0.010938279301745636;0.009924358974358975;60
The Academic Performance Seeker;3558;101176;0.011091022443890274;0.01297128205128205;8
The Accessibility-Focused Visitor;24942;520228;0.07774937655860349;0.06669589743589743;90
The Achiever;179875;3822958;0.5607076059850374;0.4901228205128205;99
The Active Healthy Aging Enthusiast;25523;623157;0.07956047381546134;0.07989192307692308;47
The Active Mobility Conscious;59483;1475769;0.1854208229426434;0.18920115384615385;62
The Active Sporty;39117;934951;0.12193578553615961;0.11986551282051282;62
The Active Wilderness Seekers;22924;518283;0.07145885286783042;0.06644653846153846;70
The Adrenaline Lover;49829;1301912;0.15532730673316708;0.16691179487179486;37
The Adrenaline Off-Road Seeker;25448;511126;0.07932668329177057;0.06552897435897435;93
The Adrenaline-Driven Biohacking & Longevity Adventurer;9001;200447;0.028057980049875312;0.025698333333333333;62
The Adrenaline-Fueled Car Enthusiast;37450;711486;0.11673940149625935;0.09121615384615385;96
The Adventorous Student;2838;75286;0.008846633416458853;0.009652051282051282;14
The Adventure Lover;78050;2172241;0.24329800498753118;0.2784924358974359;28
The Adventure Wilderness Traveler;50382;1172621;0.15705112219451373;0.15033602564102563;79
The Adventurous Beer Taster;24701;558340;0.07699812967581048;0.07158205128205128;72
The Aesthetic Decor Impulse Buyer;17668;429500;0.05507481296758105;0.05506410256410257;42
The Aesthetically Driven Book Lover;25975;739037;0.08096945137157108;0.09474833333333334;11
The African American Culture Lover;7789;276596;0.024279925187032418;0.03546102564102564;1
The African Culture Lover;24069;703489;0.07502805486284289;0.09019089743589744;8
The Alcohol-Free Beverage Advocate;7404;166863;0.023079800498753116;0.021392692307692307;57
The Algorithm Decoder;13729;311855;0.042796134663341645;0.039981410256410256;59
The Alternative Brew Innovator;17546;408275;0.05469451371571072;0.052342948717948715;55
The Altruistic Squad;18181;530545;0.056673940149625936;0.06801858974358975;8
The Ambitionist;22352;584918;0.06967581047381546;0.07498948717948718;22
The Amusement Parks Enthusiast;70171;2244963;0.21873753117206982;0.28781576923076924;4
The Animal Rights Activist;30042;844916;0.09364713216957606;0.1083225641025641;13
