Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
18-24;7956;1215584;0.024800498753117208;0.15584410256410255;3
25-34;59130;1924675;0.1843204488778055;0.24675320512820512;19
35-44;64631;1418181;0.20146820448877806;0.18181807692307692;38
45-54;61684;1215584;0.19228179551122196;0.15584410256410255;54
55-64;60506;1012987;0.18860972568578555;0.1298701282051282;80
65+;66890;1012987;0.20850997506234414;0.1298701282051282;83
High school (25.6%);64100;987100;0.7798053527980535;0.724849463944779;93
University (25.6%);18100;374700;0.22019464720194648;0.27515053605522105;48
13-17 years (22.1%);5800;92600;0.08169014084507042;0.0926;67
6-8 years (22.1%);2100;58500;0.029577464788732393;0.0585;25
9-12 years (22.1%);1200;22700;0.016901408450704224;0.0227;35
Parents (All);71000;1000000;0.2213216957605985;0.1282051282051282;90
Men;248726;3800000;0.7753304239401496;0.48717948717948717;96
Women;72073;4000000;0.22466645885286782;0.5128205128205128;6
Albanian;3200;37200;0.00997506234413965;0.0047692307692307695;87
Arabic;15300;296400;0.047693266832917705;0.038;41
Bulgarian;1500;25000;0.0046758104738154616;0.003205128205128205;51
Dutch;174100;4100000;0.5427057356608479;0.5256410256410257;58
English;321400;7800000;1.0018703241895262;1.0;77
Flemish;171200;3900000;0.5336658354114713;0.5;61
French;209700;4800000;0.6536783042394015;0.6153846153846154;64
German;4300;138900;0.013403990024937655;0.01780769230769231;16
Italian;8800;128200;0.02743142144638404;0.016435897435897438;70
Polish;2200;67600;0.00685785536159601;0.008666666666666666;22
Portuguese;3700;93400;0.011533665835411471;0.011974358974358975;29
Romanian;5000;105700;0.015586034912718205;0.013551282051282051;32
Russian;1400;90800;0.004364089775561097;0.011641025641025642;9
Spanish;5600;236000;0.017456359102244388;0.030256410256410255;12
Turkish;10900;202800;0.033977556109725686;0.026;45
In Relationship (58.7%);143800;1900000;0.7632696390658175;0.7065035511099542;100
Single (58.7%);44600;789300;0.2367303609341826;0.2934964488900457;74
