Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Accomodation & Real Estate;238248;6039060;0.7426683291770574;0.7742384615384615;77
Action and Adventure Movies;140098;7285780;0.436714463840399;0.934074358974359;0
Action movies;98866;2318440;0.3081857855361596;0.29723589743589746;64
Adrenaline;231588;6193042;0.7219077306733167;0.7939797435897435;66
Advancement;109247;2540457;0.34054551122194515;0.3256996153846154;68
Adventure;207626;4598551;0.647213216957606;0.5895578205128205;89
Adventure games;52780;1344987;0.16452618453865336;0.17243423076923076;32
Adventure movies;27627;681684;0.08611907730673317;0.08739538461538461;30
Aging;44107;1244616;0.13749064837905237;0.15956615384615386;11
Agriculture;207519;4384835;0.6468796758104738;0.5621583333333333;90
Airline companies;74320;1607952;0.23167082294264338;0.2061476923076923;70
Alcoholic drinks;161520;3982959;0.5034912718204488;0.5106357692307693;69
All Media;234152;6641214;0.7299002493765586;0.8514376923076923;49
Alternative diet;135307;3698824;0.42177992518703245;0.4742082051282051;38
American cars;252190;3608873;0.7861284289276808;0.46267602564102567;99
American football team;2915;82108;0.009086658354114712;0.010526666666666667;7
Ancestor;4529;122571;0.01411783042394015;0.01571423076923077;10
Android;202959;5089284;0.6326652119700749;0.6524723076923077;74
Anniversary;33870;927381;0.10557980049875312;0.118895;13
Apartment;216643;4571754;0.675321072319202;0.5861223076923077;91
Architecture;238571;5190834;0.743675187032419;0.6654915384615384;91
Art Deco;13256;320645;0.041321695760598506;0.04110833333333333;28
Art Events;82121;2246422;0.25598815461346636;0.2880028205128205;25
Art exhibition;101301;2782781;0.31577618453865336;0.35676679487179486;30
Art marketplace;18288;422667;0.0570074812967581;0.05418807692307692;37
Asian cars;251578;4348167;0.7842206982543641;0.5574573076923077;98
Athletic sport;116432;3056279;0.3629426433915212;0.391830641025641;43
Audio;195474;4065754;0.6093329177057356;0.5212505128205128;90
Audio & Sound;133025;3017162;0.41466645885286785;0.38681564102564103;76
Audiobook;18486;513537;0.05762468827930175;0.06583807692307693;9
Automotive;193047;3248763;0.6017674563591022;0.4165080769230769;96
Aviation;118137;2527333;0.3682574812967581;0.32401705128205127;80
Baby;122763;3672347;0.38267768079800496;0.47081371794871796;14
Baby food;44621;1341834;0.1390928927680798;0.17203;5
Bags;152843;4217363;0.4764432668329177;0.5406875641025641;39
Banking;52255;910877;0.16288965087281795;0.11677910256410257;86
Baseball;37463;991272;0.11677992518703242;0.12708615384615385;20
Baseball team;2649;68160;0.008257481296758105;0.008738461538461539;14
